iter	Passed	Remaining
0	1	191
1	3	170
2	5	162
3	6	156
4	8	155
5	9	155
6	11	152
7	13	150
8	14	148
9	16	147
10	18	146
11	19	145
12	21	144
13	23	142
14	24	141
15	26	140
16	28	138
17	30	136
18	31	135
19	33	134
20	35	134
21	37	132
22	38	130
23	40	128
24	42	126
25	43	124
26	45	122
27	46	119
28	48	118
29	49	116
30	51	114
31	52	112
32	54	110
33	55	108
34	57	106
35	58	104
36	60	102
37	61	100
38	62	98
39	64	96
40	65	94
41	66	91
42	67	89
43	68	87
44	69	85
45	70	83
46	71	81
47	73	79
48	74	77
49	75	75
50	77	74
51	78	72
52	79	70
53	80	68
54	81	67
55	83	65
56	84	63
57	85	61
58	86	60
59	88	58
60	89	57
61	90	55
62	91	53
63	92	52
64	94	50
65	95	49
66	96	47
67	98	46
68	99	44
69	100	43
70	102	41
71	103	40
72	104	38
73	106	37
74	107	35
75	108	34
76	109	32
77	110	31
78	111	29
79	112	28
80	114	26
81	114	25
82	116	23
83	117	22
84	118	20
85	120	19
86	121	18
87	122	16
88	123	15
89	124	13
90	125	12
91	127	11
92	128	9
93	129	8
94	131	6
95	132	5
96	133	4
97	134	2
98	135	1
99	136	0
